Char;Xpos;Ypos;Layer;Hand;Finger;Fixed
q;3.4;5.8;0;left;pinky;1
w;5.2;5.8;0;left;ring;1
e;7;5.8;0;left;middle;0
r;8.8;5.8;0;left;index;0
t;10.6;5.8;0;left;index;0
z;12.4;5.8;0;right;index;0
u;14.2;5.8;0;right;index;0
i;16;5.8;0;right;middle;0
o;17.8;5.8;0;right;ring;0
p;19.6;5.8;0;right;pinky;0
Å¸;21.4;5.8;0;right;pinky;1
